"id","siafi_code"
br_base.city_2304954,1251
br_base.city_2305001,1401
br_base.city_2305100,1403
br_base.city_2305209,1405
br_base.city_2305233,1253
br_base.city_2305266,1255
br_base.city_2305308,1407
br_base.city_2305332,1257
br_base.city_2305357,1593
br_base.city_2305407,1409
br_base.city_2305506,1411
br_base.city_2305605,1413
br_base.city_2305654,1259
br_base.city_2305704,1415
br_base.city_2305803,1417
br_base.city_2305902,1419
br_base.city_2306009,1421
br_base.city_2306108,1423
br_base.city_2306207,1425
br_base.city_2306256,0991
br_base.city_2306306,1427
br_base.city_2306405,1429
br_base.city_2306504,1431
br_base.city_2306553,1595
br_base.city_2306603,1433
br_base.city_2306702,1435
br_base.city_2306801,1437
br_base.city_2306900,1439
br_base.city_2307007,1441
br_base.city_2307106,1443
br_base.city_2307205,1445
br_base.city_2307254,0985
br_base.city_2307304,1447
br_base.city_2307403,1449
br_base.city_2307502,1451
br_base.city_2307601,1453
br_base.city_2307635,1261
br_base.city_2307650,1585
br_base.city_2307700,1455
br_base.city_2307809,1457
br_base.city_2307908,1459
br_base.city_2308005,1461
br_base.city_2308104,1463
br_base.city_2308203,1465
br_base.city_2308302,1467
br_base.city_2308351,1597
br_base.city_2308377,1263
br_base.city_2308401,1469
br_base.city_2308500,1471
br_base.city_2308609,1473
br_base.city_2308708,1475
br_base.city_2308807,1477
br_base.city_2308906,1479
br_base.city_2309003,1481
br_base.city_2309102,1483
br_base.city_2309201,1485
br_base.city_2309300,1487
br_base.city_2309409,1489
br_base.city_2309458,1265
br_base.city_2309508,1491
br_base.city_2309607,1493
br_base.city_2309706,1495
br_base.city_2309805,1497
br_base.city_2309904,1499
br_base.city_2310001,1501
br_base.city_2310100,1503
br_base.city_2310209,1505
br_base.city_2310258,1599
br_base.city_2310308,1507
br_base.city_2310407,1509
br_base.city_2310506,1511
br_base.city_2310605,1513
br_base.city_2310704,1515
br_base.city_2310803,1517
br_base.city_2310852,1267
br_base.city_2310902,1519
br_base.city_2310951,1269
br_base.city_2311009,1521
br_base.city_2311108,1523
br_base.city_2311207,1525
br_base.city_2311231,1271
br_base.city_2311264,9917
br_base.city_2311306,1527
br_base.city_2311355,9853
br_base.city_2311405,1529
br_base.city_2311504,1531
br_base.city_2311603,1533
br_base.city_2311702,1535
br_base.city_2311801,1537
br_base.city_2311900,1539
br_base.city_2311959,1273
br_base.city_2312205,1545
br_base.city_2312007,1541
br_base.city_2312106,1543
br_base.city_2312304,1547
br_base.city_2312403,1549
br_base.city_2312502,1551
br_base.city_2312601,1553
br_base.city_2312700,1555
br_base.city_2312809,1557
br_base.city_2312908,1559
br_base.city_2313005,1561
br_base.city_2313104,1563
br_base.city_2313203,1565
br_base.city_2313252,1275
br_base.city_2313302,1567
br_base.city_2313351,1277
br_base.city_2313401,1569
br_base.city_2313500,1571
br_base.city_2313559,1279
br_base.city_2313609,1573
br_base.city_2313708,1575
br_base.city_2313757,9855
br_base.city_2313807,1577
br_base.city_2313906,1579
br_base.city_2313955,9857
br_base.city_2314003,1581
br_base.city_2314102,1583
br_base.city_5300108,9701
br_base.city_3200102,5601
br_base.city_3200169,5717
br_base.city_3200136,5733
br_base.city_3200201,5603
br_base.city_3200300,5605
br_base.city_3200359,5719
br_base.city_3200409,5607
br_base.city_3200508,5609
br_base.city_3200607,5611
br_base.city_3200706,5613
br_base.city_3200805,5615
br_base.city_3200904,5617
br_base.city_3201001,5619
br_base.city_3201100,5621
br_base.city_3201159,0758
br_base.city_3201209,5623
br_base.city_3201308,5625
br_base.city_3201407,5627
br_base.city_3201506,5629
br_base.city_3201605,5631
br_base.city_3201704,5633
br_base.city_3201803,5635
br_base.city_3201902,5637
br_base.city_3202009,5639
br_base.city_3202108,5641
br_base.city_3202207,5643
br_base.city_3202256,1114
br_base.city_3202306,5645
br_base.city_3202405,5647
br_base.city_3202454,5709
br_base.city_3202504,5649
br_base.city_3202553,6011
br_base.city_3202603,5651
br_base.city_3202652,2931
br_base.city_3202702,5653
br_base.city_3202801,5655
br_base.city_3202900,5657
br_base.city_3203007,5659
br_base.city_3203056,5713
br_base.city_3203106,5661
br_base.city_3203130,5721
br_base.city_3203163,5723
br_base.city_3203205,5663
br_base.city_3203304,5665
br_base.city_3203320,0760
br_base.city_3203346,2929
br_base.city_3203353,5707
br_base.city_3203403,5667
br_base.city_3203502,5669
br_base.city_3203601,5671
br_base.city_3203700,5673
br_base.city_3203809,5675
br_base.city_3203908,5677
br_base.city_3204005,5679
br_base.city_3204054,5715
br_base.city_3204104,5681
br_base.city_3204203,5683
br_base.city_3204252,0762
br_base.city_3204302,5685
br_base.city_3204351,5711
br_base.city_3204401,5687
br_base.city_3204500,5689
br_base.city_3204559,5725
br_base.city_3204609,5691
br_base.city_3204658,2933
br_base.city_3204708,5693
br_base.city_3204807,5695
br_base.city_3204906,5697
br_base.city_3204955,0764
br_base.city_3205002,5699
br_base.city_3205010,0766
br_base.city_3205036,5727
br_base.city_3205069,5729
br_base.city_3205101,5701
br_base.city_3205150,2935
br_base.city_3205176,0768
br_base.city_3205200,5703
br_base.city_3205309,5705
br_base.city_5200050,1050
br_base.city_5200100,9201
br_base.city_5200134,9645
br_base.city_5200159,9769
br_base.city_5200175,9771
br_base.city_5200209,9203
br_base.city_5200258,1052
br_base.city_5200308,9205
br_base.city_5200506,9209
br_base.city_5200555,0085
br_base.city_5200605,9211
br_base.city_5200803,9215
br_base.city_5200829,1054
br_base.city_5200852,9661
br_base.city_5200902,9217
br_base.city_5201108,9221
br_base.city_5201207,9223
br_base.city_5201306,9225
br_base.city_5201405,9227
br_base.city_5201454,0071
br_base.city_5201504,9229
br_base.city_5201603,9231
br_base.city_5201702,9233
br_base.city_5201801,9235
br_base.city_5202155,9669
br_base.city_5202353,9671
br_base.city_5202502,9249
br_base.city_5202601,9251
br_base.city_5202809,9255
br_base.city_5203104,9261
br_base.city_5203203,9263
br_base.city_5203302,9265
br_base.city_5203401,9267
br_base.city_5203500,9269
br_base.city_5203559,9775
br_base.city_5203575,1056
br_base.city_5203609,9271
br_base.city_5203807,9275
br_base.city_5203906,9277
br_base.city_5203939,0063
br_base.city_5203962,0061
br_base.city_5204003,9279
br_base.city_5204102,9281
br_base.city_5204201,9283
br_base.city_5204250,9673
br_base.city_5204300,9285
br_base.city_5204409,9287
br_base.city_5204508,9289
br_base.city_5204557,0031
br_base.city_5204607,9291
br_base.city_5204656,9687
br_base.city_5204706,9293
br_base.city_5204805,9295
br_base.city_5204854,1070
br_base.city_5204904,9297
br_base.city_5204953,9781
br_base.city_5205000,9299
br_base.city_5205059,0081
br_base.city_5205109,9301
br_base.city_5205208,9303
br_base.city_5205307,9305
br_base.city_5205406,9307
br_base.city_5205455,9785
br_base.city_5205471,0073
br_base.city_5205497,0077
br_base.city_5205513,0055
br_base.city_5205521,9791
br_base.city_5205703,9315
br_base.city_5205802,9317
br_base.city_5205901,9319
br_base.city_5206206,9325
br_base.city_5206305,9327
br_base.city_5206404,9329
br_base.city_5206503,9331
br_base.city_5206602,9333
br_base.city_5206701,9335
br_base.city_5206800,9337
br_base.city_5206909,9339
br_base.city_5207105,9343
br_base.city_5208301,9309
br_base.city_5207253,9675
br_base.city_5207352,9795
br_base.city_5207402,9349
br_base.city_5207501,9351
br_base.city_5207535,9797
br_base.city_5207600,9353
br_base.city_5207808,9357
br_base.city_5207907,9359
br_base.city_5208004,9361
br_base.city_5208103,9363
br_base.city_5208152,1072
br_base.city_5208400,9367
br_base.city_5208509,9369
br_base.city_5208608,9371
br_base.city_5208707,9373
br_base.city_5208806,9375
br_base.city_5208905,9377
br_base.city_5209101,9379
br_base.city_5209150,9799
br_base.city_5209200,9381
br_base.city_5209291,0065
br_base.city_5209408,9383
br_base.city_5209457,9993
br_base.city_5209606,9387
br_base.city_5209705,9389
br_base.city_5209804,9391
br_base.city_5209903,9393
br_base.city_5209937,0069
br_base.city_5209952,9681
br_base.city_5210000,9395
br_base.city_5210109,9397
br_base.city_5210158,1074
br_base.city_5210208,9399
br_base.city_5210307,9401
br_base.city_5210406,9403
br_base.city_5210562,9919
br_base.city_5210604,9407
br_base.city_5210802,9411
br_base.city_5210901,9413
br_base.city_5211008,9415
br_base.city_5211206,9419
br_base.city_5211305,9421
br_base.city_5211404,9423
br_base.city_5211503,9425
br_base.city_5211602,9427
br_base.city_5211701,9429
br_base.city_5211800,9431
br_base.city_5211909,9433
br_base.city_5212006,9435
br_base.city_5212055,0049
br_base.city_5212105,9437
br_base.city_5212204,9439
br_base.city_5212253,1076
br_base.city_5212303,9443
br_base.city_5212501,9445
br_base.city_5212600,9447
br_base.city_5212709,9449
br_base.city_5212808,9451
br_base.city_5212907,9453
br_base.city_5212956,9927
br_base.city_5213004,9457
br_base.city_5213053,9931
br_base.city_5213087,9647
br_base.city_5213103,9459
br_base.city_5213400,9465
br_base.city_5213509,9467
br_base.city_5213707,9471
br_base.city_5213756,9933
br_base.city_5213772,0079
br_base.city_5213806,9473
br_base.city_5213855,9935
br_base.city_5213905,9475
br_base.city_5214002,9477
br_base.city_5214051,9651
br_base.city_5214101,9479
br_base.city_5214408,9485
br_base.city_5214507,9487
br_base.city_5214606,9489
br_base.city_5214705,9491
br_base.city_5214804,9493
br_base.city_5214838,9653
br_base.city_5214861,9655
br_base.city_5214879,0087
br_base.city_5214903,9495
br_base.city_5215009,9497
br_base.city_5215207,9501
br_base.city_5215231,1058
br_base.city_5215256,9735
br_base.city_5215306,9503
br_base.city_5215405,9505
br_base.city_5215504,9507
br_base.city_5215603,9509
br_base.city_5215652,9737
br_base.city_5215702,9511
br_base.city_5215801,9513
br_base.city_5215900,9515
br_base.city_5216007,9517
br_base.city_5216304,9455
br_base.city_5216403,9523
br_base.city_5216452,0075
br_base.city_5216809,9531
br_base.city_5216908,9535
br_base.city_5217104,9539
br_base.city_5217203,9541
br_base.city_5217302,9543
br_base.city_5217401,9545
br_base.city_5217609,9595
br_base.city_5217708,9549
br_base.city_5218003,9555
br_base.city_5218052,1060
br_base.city_5218102,9557
br_base.city_5218300,9561
br_base.city_5218391,0051
br_base.city_5218508,9563
br_base.city_5218607,9565
